year,region,edad,sexo,cases,py
2016,Arica y Parinacota,0-5,F,0,6546.5
2016,Arica y Parinacota,0-5,M,0,6892.5
2016,Arica y Parinacota,0-5,T,0,13439
2016,Arica y Parinacota,5-15,F,1,12530.5
2016,Arica y Parinacota,5-15,M,0,12823.5
2016,Arica y Parinacota,5-15,T,1,25354
2016,Arica y Parinacota,15-25,F,3,13443
2016,Arica y Parinacota,15-25,M,2,12451
2016,Arica y Parinacota,15-25,T,5,25894
2016,Arica y Parinacota,25-35,F,3,13621
2016,Arica y Parinacota,25-35,M,1,9808
2016,Arica y Parinacota,25-35,T,4,23429
2016,Arica y Parinacota,35-45,F,3,11732
2016,Arica y Parinacota,35-45,M,2,7865.5
2016,Arica y Parinacota,35-45,T,5,19597.5
2016,Arica y Parinacota,45-55,F,4,11128.5
2016,Arica y Parinacota,45-55,M,5,7969
2016,Arica y Parinacota,45-55,T,9,19097.5
2016,Arica y Parinacota,55-65,F,4,8594.5
2016,Arica y Parinacota,55-65,M,6,6690.5
2016,Arica y Parinacota,55-65,T,10,15285
2016,Arica y Parinacota,65-75,F,5,6562.5
2016,Arica y Parinacota,65-75,M,1,5382
2016,Arica y Parinacota,65-75,T,6,11944.5
2016,Arica y Parinacota,>75,F,1,4594
2016,Arica y Parinacota,>75,M,1,3228
2016,Arica y Parinacota,>75,T,2,7822
2016,Antofagasta,0-5,F,1,13966
2016,Antofagasta,0-5,M,0,14354.5
2016,Antofagasta,0-5,T,1,28320.5
2016,Antofagasta,5-15,F,1,26321.5
2016,Antofagasta,5-15,M,1,27265
2016,Antofagasta,5-15,T,2,53586.5
2016,Antofagasta,15-25,F,2,31403
2016,Antofagasta,15-25,M,1,29117
2016,Antofagasta,15-25,T,3,60520
2016,Antofagasta,25-35,F,3,34393.5
2016,Antofagasta,25-35,M,0,26981.5
2016,Antofagasta,25-35,T,3,61375
2016,Antofagasta,35-45,F,0,29749
2016,Antofagasta,35-45,M,3,23979
2016,Antofagasta,35-45,T,3,53728
2016,Antofagasta,45-55,F,3,26100.5
2016,Antofagasta,45-55,M,5,22912.5
2016,Antofagasta,45-55,T,8,49013
2016,Antofagasta,55-65,F,0,21044
2016,Antofagasta,55-65,M,2,18824
2016,Antofagasta,55-65,T,2,39868
2016,Antofagasta,65-75,F,1,13667
2016,Antofagasta,65-75,M,1,11350.5
2016,Antofagasta,65-75,T,2,25017.5
2016,Antofagasta,>75,F,0,10197.5
2016,Antofagasta,>75,M,0,5958
2016,Antofagasta,>75,T,0,16155.5
2016,Atacama,0-5,F,0,8104.5
2016,Atacama,0-5,M,0,8418.5
2016,Atacama,0-5,T,0,16523
2016,Atacama,5-15,F,2,17250
2016,Atacama,5-15,M,6,17972
2016,Atacama,5-15,T,8,35222
2016,Atacama,15-25,F,5,18203.5
2016,Atacama,15-25,M,2,18037
2016,Atacama,15-25,T,7,36240.5
2016,Atacama,25-35,F,5,18072
2016,Atacama,25-35,M,2,15426.5
2016,Atacama,25-35,T,7,33498.5
2016,Atacama,35-45,F,11,15403.5
2016,Atacama,35-45,M,7,13550
2016,Atacama,35-45,T,18,28953.5
2016,Atacama,45-55,F,4,15981.5
2016,Atacama,45-55,M,7,14882
2016,Atacama,45-55,T,11,30863.5
2016,Atacama,55-65,F,10,12548
2016,Atacama,55-65,M,8,11750
2016,Atacama,55-65,T,18,24298
2016,Atacama,65-75,F,4,8256.5
2016,Atacama,65-75,M,1,7536.5
2016,Atacama,65-75,T,5,15793
2016,Atacama,>75,F,2,6182.5
2016,Atacama,>75,M,1,4752
2016,Atacama,>75,T,3,10934.5
2016,Coquimbo,0-5,F,0,21474
2016,Coquimbo,0-5,M,0,22338
2016,Coquimbo,0-5,T,0,43812
2016,Coquimbo,5-15,F,0,42275.5
2016,Coquimbo,5-15,M,0,44222.5
2016,Coquimbo,5-15,T,0,86498
2016,Coquimbo,15-25,F,0,45970.5
2016,Coquimbo,15-25,M,0,44932
2016,Coquimbo,15-25,T,0,90902.5
2016,Coquimbo,25-35,F,0,46207.5
2016,Coquimbo,25-35,M,0,39728.5
2016,Coquimbo,25-35,T,0,85936
2016,Coquimbo,35-45,F,0,41653.5
2016,Coquimbo,35-45,M,0,35078
2016,Coquimbo,35-45,T,0,76731.5
2016,Coquimbo,45-55,F,0,41889.5
2016,Coquimbo,45-55,M,1,36944
2016,Coquimbo,45-55,T,1,78833.5
2016,Coquimbo,55-65,F,1,33516.5
2016,Coquimbo,55-65,M,1,29999.5
2016,Coquimbo,55-65,T,2,63516
2016,Coquimbo,65-75,F,0,23122
2016,Coquimbo,65-75,M,0,19945.5
2016,Coquimbo,65-75,T,0,43067.5
2016,Coquimbo,>75,F,0,18839
2016,Coquimbo,>75,M,0,13080
2016,Coquimbo,>75,T,0,31919
2016,Valparaiso,0-5,F,1,22678.5
2016,Valparaiso,0-5,M,0,23240.5
2016,Valparaiso,0-5,T,1,45919
2016,Valparaiso,5-15,F,0,46339.5
2016,Valparaiso,5-15,M,0,48026.5
2016,Valparaiso,5-15,T,0,94366
2016,Valparaiso,15-25,F,0,54583.5
2016,Valparaiso,15-25,M,2,52646.5
2016,Valparaiso,15-25,T,2,107230
2016,Valparaiso,25-35,F,2,57645
2016,Valparaiso,25-35,M,3,46648
2016,Valparaiso,25-35,T,5,104293
2016,Valparaiso,35-45,F,2,50379
2016,Valparaiso,35-45,M,1,39624
2016,Valparaiso,35-45,T,3,90003
2016,Valparaiso,45-55,F,2,53909
2016,Valparaiso,45-55,M,0,44295.5
2016,Valparaiso,45-55,T,2,98204.5
2016,Valparaiso,55-65,F,2,46927
2016,Valparaiso,55-65,M,2,38396.5
2016,Valparaiso,55-65,T,4,85323.5
2016,Valparaiso,65-75,F,0,33867
2016,Valparaiso,65-75,M,1,26673
2016,Valparaiso,65-75,T,1,60540
2016,Valparaiso,>75,F,2,29301
2016,Valparaiso,>75,M,1,16952
2016,Valparaiso,>75,T,3,46253
2016,Metropolitana,0-5,F,7,121429
2016,Metropolitana,0-5,M,6,125857.5
2016,Metropolitana,0-5,T,13,247286.5
2016,Metropolitana,5-15,F,43,256955
2016,Metropolitana,5-15,M,26,268767.5
2016,Metropolitana,5-15,T,69,525722.5
2016,Metropolitana,15-25,F,41,300330.5
2016,Metropolitana,15-25,M,31,273166
2016,Metropolitana,15-25,T,72,573496.5
2016,Metropolitana,25-35,F,45,313174.5
2016,Metropolitana,25-35,M,14,236826
2016,Metropolitana,25-35,T,59,550000.5
2016,Metropolitana,35-45,F,46,280613.5
2016,Metropolitana,35-45,M,45,218764
2016,Metropolitana,35-45,T,91,499377.5
2016,Metropolitana,45-55,F,78,301438
2016,Metropolitana,45-55,M,62,241112.5
2016,Metropolitana,45-55,T,140,542550.5
2016,Metropolitana,55-65,F,65,256160.5
2016,Metropolitana,55-65,M,55,203737
2016,Metropolitana,55-65,T,120,459897.5
2016,Metropolitana,65-75,F,33,182247
2016,Metropolitana,65-75,M,37,138040.5
2016,Metropolitana,65-75,T,70,320287.5
2016,Metropolitana,>75,F,13,149556.5
2016,Metropolitana,>75,M,6,79449
2016,Metropolitana,>75,T,19,229005.5
2016,Maule,0-5,F,3,26541
2016,Maule,0-5,M,7,27382.5
2016,Maule,0-5,T,10,53923.5
2016,Maule,5-15,F,11,57636
2016,Maule,5-15,M,15,60753.5
2016,Maule,5-15,T,26,118389.5
2016,Maule,15-25,F,16,65805
2016,Maule,15-25,M,9,63406
2016,Maule,15-25,T,25,129211
2016,Maule,25-35,F,25,64744.5
2016,Maule,25-35,M,13,53139
2016,Maule,25-35,T,38,117883.5
2016,Maule,35-45,F,36,60721
2016,Maule,35-45,M,20,50032
2016,Maule,35-45,T,56,110753
2016,Maule,45-55,F,40,64396
2016,Maule,45-55,M,28,57336.5
2016,Maule,45-55,T,68,121732.5
2016,Maule,55-65,F,39,49990
2016,Maule,55-65,M,25,46524.5
2016,Maule,55-65,T,64,96514.5
2016,Maule,65-75,F,15,33810.5
2016,Maule,65-75,M,20,31255.5
2016,Maule,65-75,T,35,65066
2016,Maule,>75,F,2,25021.5
2016,Maule,>75,M,7,18568
2016,Maule,>75,T,9,43589.5
2016,Bio-Bio y Los Angeles,0-5,F,3,30366.5
2016,Bio-Bio y Los Angeles,0-5,M,5,31420
2016,Bio-Bio y Los Angeles,0-5,T,8,61786.5
2016,Bio-Bio y Los Angeles,5-15,F,19,68513
2016,Bio-Bio y Los Angeles,5-15,M,15,71412
2016,Bio-Bio y Los Angeles,5-15,T,34,139925
2016,Bio-Bio y Los Angeles,15-25,F,19,79739.5
2016,Bio-Bio y Los Angeles,15-25,M,18,77367
2016,Bio-Bio y Los Angeles,15-25,T,37,157106.5
2016,Bio-Bio y Los Angeles,25-35,F,27,77074
2016,Bio-Bio y Los Angeles,25-35,M,9,64478
2016,Bio-Bio y Los Angeles,25-35,T,36,141552
2016,Bio-Bio y Los Angeles,35-45,F,26,72681.5
2016,Bio-Bio y Los Angeles,35-45,M,26,59495.5
2016,Bio-Bio y Los Angeles,35-45,T,52,132177
2016,Bio-Bio y Los Angeles,45-55,F,42,78996.5
2016,Bio-Bio y Los Angeles,45-55,M,34,71262
2016,Bio-Bio y Los Angeles,45-55,T,76,150258.5
2016,Bio-Bio y Los Angeles,55-65,F,30,62742.5
2016,Bio-Bio y Los Angeles,55-65,M,36,56699.5
2016,Bio-Bio y Los Angeles,55-65,T,66,119442
2016,Bio-Bio y Los Angeles,65-75,F,19,43936.5
2016,Bio-Bio y Los Angeles,65-75,M,32,37671.5
2016,Bio-Bio y Los Angeles,65-75,T,51,81608
2016,Bio-Bio y Los Angeles,>75,F,8,33636.5
2016,Bio-Bio y Los Angeles,>75,M,10,22893.5
2016,Bio-Bio y Los Angeles,>75,T,18,56530
2016,Los Rios,0-5,F,1,9642
2016,Los Rios,0-5,M,1,9941
2016,Los Rios,0-5,T,2,19583
2016,Los Rios,5-15,F,6,20935
2016,Los Rios,5-15,M,4,21476.5
2016,Los Rios,5-15,T,10,42411.5
2016,Los Rios,15-25,F,13,23411
2016,Los Rios,15-25,M,5,22710.5
2016,Los Rios,15-25,T,18,46121.5
2016,Los Rios,25-35,F,11,22026.5
2016,Los Rios,25-35,M,8,17595
2016,Los Rios,25-35,T,19,39621.5
2016,Los Rios,35-45,F,15,19469
2016,Los Rios,35-45,M,12,15258
2016,Los Rios,35-45,T,27,34727
2016,Los Rios,45-55,F,22,21815.5
2016,Los Rios,45-55,M,16,19145
2016,Los Rios,45-55,T,38,40960.5
2016,Los Rios,55-65,F,16,16790.5
2016,Los Rios,55-65,M,19,15254.5
2016,Los Rios,55-65,T,35,32045
2016,Los Rios,65-75,F,3,11776
2016,Los Rios,65-75,M,5,10209
2016,Los Rios,65-75,T,8,21985
2016,Los Rios,>75,F,4,9703
2016,Los Rios,>75,M,1,6695
2016,Los Rios,>75,T,5,16398
2016,Los Lagos,0-5,F,2,20045
2016,Los Lagos,0-5,M,0,20588.5
2016,Los Lagos,0-5,T,2,40633.5
2016,Los Lagos,5-15,F,14,49407
2016,Los Lagos,5-15,M,5,51260.5
2016,Los Lagos,5-15,T,19,100667.5
2016,Los Lagos,15-25,F,22,54951
2016,Los Lagos,15-25,M,6,51832.5
2016,Los Lagos,15-25,T,28,106783.5
2016,Los Lagos,25-35,F,16,53277.5
2016,Los Lagos,25-35,M,14,42601
2016,Los Lagos,25-35,T,30,95878.5
2016,Los Lagos,35-45,F,19,50457
2016,Los Lagos,35-45,M,25,41930.5
2016,Los Lagos,35-45,T,44,92387.5
2016,Los Lagos,45-55,F,28,50165
2016,Los Lagos,45-55,M,25,45940.5
2016,Los Lagos,45-55,T,53,96105.5
2016,Los Lagos,55-65,F,19,36401
2016,Los Lagos,55-65,M,22,33570
2016,Los Lagos,55-65,T,41,69971
2016,Los Lagos,65-75,F,10,25721
2016,Los Lagos,65-75,M,10,22587.5
2016,Los Lagos,65-75,T,20,48308.5
2016,Los Lagos,>75,F,8,20825
2016,Los Lagos,>75,M,4,14274.5
2016,Los Lagos,>75,T,12,35099.5
2016,Aysen,0-5,F,0,2326
2016,Aysen,0-5,M,0,2365.5
2016,Aysen,0-5,T,0,4691.5
2016,Aysen,5-15,F,0,6003.5
2016,Aysen,5-15,M,2,6325
2016,Aysen,5-15,T,2,12328.5
2016,Aysen,15-25,F,8,6572
2016,Aysen,15-25,M,1,6281.5
2016,Aysen,15-25,T,9,12853.5
2016,Aysen,25-35,F,2,6878.5
2016,Aysen,25-35,M,4,5693.5
2016,Aysen,25-35,T,6,12572
2016,Aysen,35-45,F,2,6107
2016,Aysen,35-45,M,3,5110.5
2016,Aysen,35-45,T,5,11217.5
2016,Aysen,45-55,F,2,5649
2016,Aysen,45-55,M,7,5188
2016,Aysen,45-55,T,9,10837
2016,Aysen,55-65,F,8,4369
2016,Aysen,55-65,M,7,4082
2016,Aysen,55-65,T,15,8451
2016,Aysen,65-75,F,1,2649
2016,Aysen,65-75,M,5,2647
2016,Aysen,65-75,T,6,5296
2016,Aysen,>75,F,0,1791.5
2016,Aysen,>75,M,2,1502
2016,Aysen,>75,T,2,3293.5
2017,Arica y Parinacota,0-5,F,0,6595
2017,Arica y Parinacota,0-5,M,0,6809.5
2017,Arica y Parinacota,0-5,T,0,13404.5
2017,Arica y Parinacota,5-15,F,3,12836.5
2017,Arica y Parinacota,5-15,M,0,13246.5
2017,Arica y Parinacota,5-15,T,3,26083
2017,Arica y Parinacota,15-25,F,3,13507.5
2017,Arica y Parinacota,15-25,M,3,12773.5
2017,Arica y Parinacota,15-25,T,6,26281
2017,Arica y Parinacota,25-35,F,4,14163.5
2017,Arica y Parinacota,25-35,M,3,10632.5
2017,Arica y Parinacota,25-35,T,7,24796
2017,Arica y Parinacota,35-45,F,5,12094
2017,Arica y Parinacota,35-45,M,3,8419
2017,Arica y Parinacota,35-45,T,8,20513
2017,Arica y Parinacota,45-55,F,9,11502.5
2017,Arica y Parinacota,45-55,M,2,8449
2017,Arica y Parinacota,45-55,T,11,19951.5
2017,Arica y Parinacota,55-65,F,7,9059.5
2017,Arica y Parinacota,55-65,M,11,7198
2017,Arica y Parinacota,55-65,T,18,16257.5
2017,Arica y Parinacota,65-75,F,1,6737.5
2017,Arica y Parinacota,65-75,M,4,5555.5
2017,Arica y Parinacota,65-75,T,5,12293
2017,Arica y Parinacota,>75,F,4,4885
2017,Arica y Parinacota,>75,M,0,3496.5
2017,Arica y Parinacota,>75,T,4,8381.5
2017,Antofagasta,0-5,F,0,14438.5
2017,Antofagasta,0-5,M,0,14857
2017,Antofagasta,0-5,T,0,29295.5
2017,Antofagasta,5-15,F,3,27778.5
2017,Antofagasta,5-15,M,1,28826
2017,Antofagasta,5-15,T,4,56604.5
2017,Antofagasta,15-25,F,2,32813.5
2017,Antofagasta,15-25,M,2,30395.5
2017,Antofagasta,15-25,T,4,63209
2017,Antofagasta,25-35,F,5,37699.5
2017,Antofagasta,25-35,M,0,29559.5
2017,Antofagasta,25-35,T,5,67259
2017,Antofagasta,35-45,F,6,31769
2017,Antofagasta,35-45,M,2,25747
2017,Antofagasta,35-45,T,8,57516
2017,Antofagasta,45-55,F,5,27506
2017,Antofagasta,45-55,M,4,24218.5
2017,Antofagasta,45-55,T,9,51724.5
2017,Antofagasta,55-65,F,5,22336
2017,Antofagasta,55-65,M,3,20217
2017,Antofagasta,55-65,T,8,42553
2017,Antofagasta,65-75,F,4,14036.5
2017,Antofagasta,65-75,M,4,11759
2017,Antofagasta,65-75,T,8,25795.5
2017,Antofagasta,>75,F,2,10808
2017,Antofagasta,>75,M,2,6382
2017,Antofagasta,>75,T,4,17190
2017,Atacama,0-5,F,0,7860.5
2017,Atacama,0-5,M,0,8272.5
2017,Atacama,0-5,T,0,16133
2017,Atacama,5-15,F,2,17718
2017,Atacama,5-15,M,1,18392
2017,Atacama,5-15,T,3,36110
2017,Atacama,15-25,F,4,18374
2017,Atacama,15-25,M,1,18163.5
2017,Atacama,15-25,T,5,36537.5
2017,Atacama,25-35,F,5,19058
2017,Atacama,25-35,M,1,16520.5
2017,Atacama,25-35,T,6,35578.5
2017,Atacama,35-45,F,8,15932
2017,Atacama,35-45,M,1,14033
2017,Atacama,35-45,T,9,29965
2017,Atacama,45-55,F,4,16270.5
2017,Atacama,45-55,M,5,15254.5
2017,Atacama,45-55,T,9,31525
2017,Atacama,55-65,F,2,13243
2017,Atacama,55-65,M,5,12490
2017,Atacama,55-65,T,7,25733
2017,Atacama,65-75,F,3,8470.5
2017,Atacama,65-75,M,1,7807.5
2017,Atacama,65-75,T,4,16278
2017,Atacama,>75,F,2,6650.5
2017,Atacama,>75,M,1,5082
2017,Atacama,>75,T,3,11732.5
2017,Coquimbo,0-5,F,1,21550.5
2017,Coquimbo,0-5,M,1,22519.5
2017,Coquimbo,0-5,T,2,44070
2017,Coquimbo,5-15,F,2,43958
2017,Coquimbo,5-15,M,2,45956
2017,Coquimbo,5-15,T,4,89914
2017,Coquimbo,15-25,F,1,47016.5
2017,Coquimbo,15-25,M,8,46160
2017,Coquimbo,15-25,T,9,93176.5
2017,Coquimbo,25-35,F,8,49186
2017,Coquimbo,25-35,M,2,42506
2017,Coquimbo,25-35,T,10,91692
2017,Coquimbo,35-45,F,3,43260
2017,Coquimbo,35-45,M,1,36613
2017,Coquimbo,35-45,T,4,79873
2017,Coquimbo,45-55,F,7,43258
2017,Coquimbo,45-55,M,6,38173
2017,Coquimbo,45-55,T,13,81431
2017,Coquimbo,55-65,F,3,35513.5
2017,Coquimbo,55-65,M,5,31950.5
2017,Coquimbo,55-65,T,8,67464
2017,Coquimbo,65-75,F,3,23678
2017,Coquimbo,65-75,M,5,20583.5
2017,Coquimbo,65-75,T,8,44261.5
2017,Coquimbo,>75,F,1,20223
2017,Coquimbo,>75,M,0,14178.5
2017,Coquimbo,>75,T,1,34401.5
2017,Valparaiso,0-5,F,0,30541.5
2017,Valparaiso,0-5,M,0,31197
2017,Valparaiso,0-5,T,0,61738.5
2017,Valparaiso,5-15,F,2,63016
2017,Valparaiso,5-15,M,1,65419
2017,Valparaiso,5-15,T,3,128435
2017,Valparaiso,15-25,F,4,72372.5
2017,Valparaiso,15-25,M,3,70712
2017,Valparaiso,15-25,T,7,143084.5
2017,Valparaiso,25-35,F,3,78660.5
2017,Valparaiso,25-35,M,2,64966.5
2017,Valparaiso,25-35,T,5,143627
2017,Valparaiso,35-45,F,1,67998.5
2017,Valparaiso,35-45,M,1,55321
2017,Valparaiso,35-45,T,2,123319.5
2017,Valparaiso,45-55,F,3,71084
2017,Valparaiso,45-55,M,0,59595
2017,Valparaiso,45-55,T,3,130679
2017,Valparaiso,55-65,F,3,63350
2017,Valparaiso,55-65,M,10,53117
2017,Valparaiso,55-65,T,13,116467
2017,Valparaiso,65-75,F,2,43701.5
2017,Valparaiso,65-75,M,3,35985
2017,Valparaiso,65-75,T,5,79686.5
2017,Valparaiso,>75,F,1,38419.5
2017,Valparaiso,>75,M,2,23378
2017,Valparaiso,>75,T,3,61797.5
2017,Metropolitana,0-5,F,6,152766
2017,Metropolitana,0-5,M,5,157790
2017,Metropolitana,0-5,T,11,310556
2017,Metropolitana,5-15,F,43,325987
2017,Metropolitana,5-15,M,20,340932
2017,Metropolitana,5-15,T,63,666919
2017,Metropolitana,15-25,F,30,377112
2017,Metropolitana,15-25,M,12,347934.5
2017,Metropolitana,15-25,T,42,725046.5
2017,Metropolitana,25-35,F,70,408757
2017,Metropolitana,25-35,M,37,320379.5
2017,Metropolitana,25-35,T,107,729136.5
2017,Metropolitana,35-45,F,55,358250.5
2017,Metropolitana,35-45,M,50,288259.5
2017,Metropolitana,35-45,T,105,646510
2017,Metropolitana,45-55,F,93,377448.5
2017,Metropolitana,45-55,M,72,309969
2017,Metropolitana,45-55,T,165,687417.5
2017,Metropolitana,55-65,F,105,328683.5
2017,Metropolitana,55-65,M,78,267671.5
2017,Metropolitana,55-65,T,183,596355
2017,Metropolitana,65-75,F,54,225989
2017,Metropolitana,65-75,M,43,175894.5
2017,Metropolitana,65-75,T,97,401883.5
2017,Metropolitana,>75,F,16,188721.5
2017,Metropolitana,>75,M,21,105299
2017,Metropolitana,>75,T,37,294020.5
2017,Maule,0-5,F,4,27024
2017,Maule,0-5,M,5,27919
2017,Maule,0-5,T,9,54943
2017,Maule,5-15,F,20,58367.5
2017,Maule,5-15,M,12,61480
2017,Maule,5-15,T,32,119847.5
2017,Maule,15-25,F,21,65597
2017,Maule,15-25,M,20,63396.5
2017,Maule,15-25,T,41,128993.5
2017,Maule,25-35,F,24,67158.5
2017,Maule,25-35,M,20,55362
2017,Maule,25-35,T,44,122520.5
2017,Maule,35-45,F,38,61832.5
2017,Maule,35-45,M,19,51419.5
2017,Maule,35-45,T,57,113252
2017,Maule,45-55,F,37,65261
2017,Maule,45-55,M,25,58286
2017,Maule,45-55,T,62,123547
2017,Maule,55-65,F,39,52603
2017,Maule,55-65,M,34,49310
2017,Maule,55-65,T,73,101913
2017,Maule,65-75,F,23,34667
2017,Maule,65-75,M,30,32276
2017,Maule,65-75,T,53,66943
2017,Maule,>75,F,8,26492.5
2017,Maule,>75,M,5,19912.5
2017,Maule,>75,T,13,46405
2017,Bio-Bio y Los Angeles,0-5,F,5,30597.5
2017,Bio-Bio y Los Angeles,0-5,M,2,31680
2017,Bio-Bio y Los Angeles,0-5,T,7,62277.5
2017,Bio-Bio y Los Angeles,5-15,F,17,69079.5
2017,Bio-Bio y Los Angeles,5-15,M,16,71990.5
2017,Bio-Bio y Los Angeles,5-15,T,33,141070
2017,Bio-Bio y Los Angeles,15-25,F,23,79165.5
2017,Bio-Bio y Los Angeles,15-25,M,14,77005.5
2017,Bio-Bio y Los Angeles,15-25,T,37,156171
2017,Bio-Bio y Los Angeles,25-35,F,29,79851
2017,Bio-Bio y Los Angeles,25-35,M,16,67116
2017,Bio-Bio y Los Angeles,25-35,T,45,146967
2017,Bio-Bio y Los Angeles,35-45,F,38,73092
2017,Bio-Bio y Los Angeles,35-45,M,20,60325
2017,Bio-Bio y Los Angeles,35-45,T,58,133417
2017,Bio-Bio y Los Angeles,45-55,F,57,80189
2017,Bio-Bio y Los Angeles,45-55,M,46,72315.5
2017,Bio-Bio y Los Angeles,45-55,T,103,152504.5
2017,Bio-Bio y Los Angeles,55-65,F,38,65500.5
2017,Bio-Bio y Los Angeles,55-65,M,37,60071
2017,Bio-Bio y Los Angeles,55-65,T,75,125571.5
2017,Bio-Bio y Los Angeles,65-75,F,27,44480
2017,Bio-Bio y Los Angeles,65-75,M,33,38612.5
2017,Bio-Bio y Los Angeles,65-75,T,60,83092.5
2017,Bio-Bio y Los Angeles,>75,F,6,35827.5
2017,Bio-Bio y Los Angeles,>75,M,8,24702
2017,Bio-Bio y Los Angeles,>75,T,14,60529.5
2017,Los Rios,0-5,F,0,9530.5
2017,Los Rios,0-5,M,1,9850.5
2017,Los Rios,0-5,T,1,19381
2017,Los Rios,5-15,F,7,21047
2017,Los Rios,5-15,M,4,21675.5
2017,Los Rios,5-15,T,11,42722.5
2017,Los Rios,15-25,F,11,23188.5
2017,Los Rios,15-25,M,7,22669
2017,Los Rios,15-25,T,18,45857.5
2017,Los Rios,25-35,F,17,22716
2017,Los Rios,25-35,M,4,18653
2017,Los Rios,25-35,T,21,41369
2017,Los Rios,35-45,F,12,19705
2017,Los Rios,35-45,M,14,15639
2017,Los Rios,35-45,T,26,35344
2017,Los Rios,45-55,F,19,21931
2017,Los Rios,45-55,M,14,19465
2017,Los Rios,45-55,T,33,41396
2017,Los Rios,55-65,F,10,17735
2017,Los Rios,55-65,M,13,16315
2017,Los Rios,55-65,T,23,34050
2017,Los Rios,65-75,F,3,12105.5
2017,Los Rios,65-75,M,13,10560.5
2017,Los Rios,65-75,T,16,22666
2017,Los Rios,>75,F,3,10288.5
2017,Los Rios,>75,M,5,7155.5
2017,Los Rios,>75,T,8,17444
2017,Los Lagos,0-5,F,1,20489.5
2017,Los Lagos,0-5,M,0,21017.5
2017,Los Lagos,0-5,T,1,41507
2017,Los Lagos,5-15,F,8,49804.5
2017,Los Lagos,5-15,M,14,51609.5
2017,Los Lagos,5-15,T,22,101414
2017,Los Lagos,15-25,F,15,55559
2017,Los Lagos,15-25,M,9,52833.5
2017,Los Lagos,15-25,T,24,108392.5
2017,Los Lagos,25-35,F,10,55867
2017,Los Lagos,25-35,M,11,45082.5
2017,Los Lagos,25-35,T,21,100949.5
2017,Los Lagos,35-45,F,14,51490.5
2017,Los Lagos,35-45,M,11,43223.5
2017,Los Lagos,35-45,T,25,94714
2017,Los Lagos,45-55,F,23,51647
2017,Los Lagos,45-55,M,31,47606
2017,Los Lagos,45-55,T,54,99253
2017,Los Lagos,55-65,F,17,38438
2017,Los Lagos,55-65,M,33,36008
2017,Los Lagos,55-65,T,50,74446
2017,Los Lagos,65-75,F,13,26136
2017,Los Lagos,65-75,M,17,23092
2017,Los Lagos,65-75,T,30,49228
2017,Los Lagos,>75,F,4,22259.5
2017,Los Lagos,>75,M,4,15354.5
2017,Los Lagos,>75,T,8,37614
2017,Aysen,0-5,F,1,2298
2017,Aysen,0-5,M,1,2315
2017,Aysen,0-5,T,2,4613
2017,Aysen,5-15,F,12,6198.5
2017,Aysen,5-15,M,4,6532.5
2017,Aysen,5-15,T,16,12731
2017,Aysen,15-25,F,7,6895.5
2017,Aysen,15-25,M,5,6574.5
2017,Aysen,15-25,T,12,13470
2017,Aysen,25-35,F,15,7434.5
2017,Aysen,25-35,M,6,6221
2017,Aysen,25-35,T,21,13655.5
2017,Aysen,35-45,F,10,6441.5
2017,Aysen,35-45,M,9,5409
2017,Aysen,35-45,T,19,11850.5
2017,Aysen,45-55,F,20,5946
2017,Aysen,45-55,M,14,5453
2017,Aysen,45-55,T,34,11399
2017,Aysen,55-65,F,5,4663.5
2017,Aysen,55-65,M,18,4424.5
2017,Aysen,55-65,T,23,9088
2017,Aysen,65-75,F,4,2770
2017,Aysen,65-75,M,6,2751.5
2017,Aysen,65-75,T,10,5521.5
2017,Aysen,>75,F,1,1975.5
2017,Aysen,>75,M,3,1651.5
2017,Aysen,>75,T,4,3627
2017,Magallanes,0-5,F,0,3471.5
2017,Magallanes,0-5,M,0,3538
2017,Magallanes,0-5,T,0,7009.5
2017,Magallanes,5-15,F,0,7471.5
2017,Magallanes,5-15,M,0,7752.5
2017,Magallanes,5-15,T,0,15224
2017,Magallanes,15-25,F,0,8644.5
2017,Magallanes,15-25,M,0,8176.5
2017,Magallanes,15-25,T,0,16821
2017,Magallanes,25-35,F,2,10462.5
2017,Magallanes,25-35,M,0,8162.5
2017,Magallanes,25-35,T,2,18625
2017,Magallanes,35-45,F,1,9224
2017,Magallanes,35-45,M,0,7532.5
2017,Magallanes,35-45,T,1,16756.5
2017,Magallanes,45-55,F,1,8895.5
2017,Magallanes,45-55,M,1,8069
2017,Magallanes,45-55,T,2,16964.5
2017,Magallanes,55-65,F,1,7912.5
2017,Magallanes,55-65,M,1,7695
2017,Magallanes,55-65,T,2,15607.5
2017,Magallanes,65-75,F,0,5345
2017,Magallanes,65-75,M,0,4864
2017,Magallanes,65-75,T,0,10209
2017,Magallanes,>75,F,0,4713.5
2017,Magallanes,>75,M,0,2922.5
2017,Magallanes,>75,T,0,7636
